"","lat","lon","elevation","time","t","delta.lat","delta.lon"
"106",39.188633,-96.578833,317.935700449161,2024-02-06 12:29:37,105,-0.000952999999995541,0.000748000000001525
"107",39.188622,-96.578835,317.849576585926,2024-02-06 12:29:38,106,-0.00096399999999619,0.000746000000006575
"108",39.18861,-96.578836,317.756533575244,2024-02-06 12:29:39,107,-0.00097600000000142,0.0007450000000091
"109",39.188599,-96.578838,317.654625128023,2024-02-06 12:29:40,108,-0.000986999999994964,0.000742999999999938
"110",39.188588,-96.578841,317.553337013349,2024-02-06 12:29:41,109,-0.000997999999995614,0.000740000000007512
"111",39.188576,-96.578844,317.461866909638,2024-02-06 12:29:42,110,-0.00101000000000084,0.000737000000000876
"112",39.188564,-96.578847,317.388081744313,2024-02-06 12:29:43,111,-0.00102199999999897,0.00073400000000845
"113",39.188553,-96.578849,317.321218108758,2024-02-06 12:29:44,112,-0.00103299999999962,0.000731999999999289
"114",39.188541,-96.578851,317.267191791907,2024-02-06 12:29:45,113,-0.00104499999999774,0.000730000000004338
"115",39.18853,-96.578853,317.221127691679,2024-02-06 12:29:46,114,-0.00105599999999839,0.000728000000009388
"116",39.188518,-96.578856,317.193483311683,2024-02-06 12:29:47,115,-0.00106799999999652,0.000725000000002751
"117",39.188506,-96.578858,317.181613641791,2024-02-06 12:29:48,116,-0.00108000000000175,0.000723000000007801
"118",39.188495,-96.578861,317.166304052807,2024-02-06 12:29:49,117,-0.00109099999999529,0.000720000000001164
"119",39.188484,-96.578863,317.168879236095,2024-02-06 12:29:50,118,-0.00110199999999594,0.000718000000006214
"120",39.188472,-96.578866,317.180431588553,2024-02-06 12:29:51,119,-0.00111400000000117,0.000714999999999577
"121",39.18846,-96.578869,317.179804789834,2024-02-06 12:29:52,120,-0.00112599999999929,0.000712000000007151
"122",39.188448,-96.578872,317.179885927588,2024-02-06 12:29:53,121,-0.00113799999999742,0.000709000000000515
"123",39.188436,-96.578875,317.1831453247,2024-02-06 12:29:54,122,-0.00114999999999554,0.000706000000008089
"124",39.188424,-96.578878,317.184772982262,2024-02-06 12:29:55,123,-0.00116200000000077,0.000703000000001452
"125",39.188412,-96.578882,317.191634448245,2024-02-06 12:29:56,124,-0.0011739999999989,0.000699000000011551
"126",39.1884,-96.578885,317.203055975027,2024-02-06 12:29:57,125,-0.00118599999999702,0.000696000000004915
"127",39.188389,-96.578886,317.200891849585,2024-02-06 12:29:58,126,-0.00119699999999767,0.00069500000000744
"128",39.188379,-96.578886,317.192913716659,2024-02-06 12:29:59,127,-0.00120700000000085,0.00069500000000744
"129",39.188368,-96.578886,317.190336296335,2024-02-06 12:30:00,128,-0.0012180000000015,0.00069500000000744
"130",39.188357,-96.578885,317.195416174829,2024-02-06 12:30:01,129,-0.00122899999999504,0.000696000000004915
"131",39.188347,-96.578886,317.191514894366,2024-02-06 12:30:02,130,-0.00123899999999821,0.00069500000000744
"132",39.188336,-96.578886,317.196101170033,2024-02-06 12:30:03,131,-0.00124999999999886,0.00069500000000744
"133",39.188325,-96.578886,317.203259036876,2024-02-06 12:30:04,132,-0.00126099999999951,0.00069500000000744
"134",39.188314,-96.578885,317.225899328478,2024-02-06 12:30:05,133,-0.00127200000000016,0.000696000000004915
"135",39.188303,-96.578885,317.261102300137,2024-02-06 12:30:06,134,-0.00128300000000081,0.000696000000004915
"136",39.188292,-96.578884,317.303300807253,2024-02-06 12:30:07,135,-0.00129400000000146,0.00069700000000239
"137",39.188281,-96.578884,317.344292889349,2024-02-06 12:30:08,136,-0.001304999999995,0.00069700000000239
"138",39.18827,-96.578884,317.389814173803,2024-02-06 12:30:09,137,-0.00131599999999565,0.00069700000000239
"139",39.188259,-96.578884,317.445009227842,2024-02-06 12:30:10,138,-0.0013269999999963,0.00069700000000239
"140",39.188247,-96.578884,317.504384910688,2024-02-06 12:30:11,139,-0.00133900000000153,0.00069700000000239
"141",39.188236,-96.578885,317.560661752708,2024-02-06 12:30:12,140,-0.00134999999999508,0.000696000000004915
"142",39.188225,-96.578887,317.62583835423,2024-02-06 12:30:13,141,-0.00136099999999573,0.000694000000009964
"143",39.188213,-96.57889,317.697801305912,2024-02-06 12:30:14,142,-0.00137300000000096,0.000691000000003328
"144",39.188201,-96.578894,317.768802301958,2024-02-06 12:30:15,143,-0.00138499999999908,0.000686999999999216
"145",39.188189,-96.578899,317.834902633913,2024-02-06 12:30:16,144,-0.00139699999999721,0.000681999999997629
